name;sex;evote;dob;zip;education;citizenship;marital_status;party
el-Huq, Jasra;Female;0;24-08-1960;2400;Vocational bachelors educations;Denmark;Never married;Red
Raner, Candace;Female;0;02-09-1963;2300;Primary education;Denmark;Married/separated;Red
el-Baksh, Daifallah;Male;0;05-04-1969;2100;Vocational Education and Training (VET);Denmark;Never married;Red
Luna, Kaitlyn;Female;0;13-03-1976;2300;Upper secondary education;Denmark;Married/separated;Green
Tran, Ann;Female;0;30-09-1993;2200;Primary education;Denmark;Never married;Green
Adams, Sage;Female;0;22-12-1967;2400;Vocational bachelors educations;Denmark;Never married;Red
Roy, Omar;Male;0;15-04-2004;2400;Primary education;Denmark;Never married;Green
Heideman, Faline;Female;1;08-09-1995;2100;Upper secondary education;Denmark;Never married;Green
Lopez-Audet, Catelynn;Female;0;30-04-1980;2100;Vocational Education and Training (VET);Denmark;Married/separated;Green
al-Husain, Aadil;Male;0;14-12-1977;2400;Primary education;Denmark;Never married;Green
Mceachern, Joshua;Male;1;24-11-1959;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
Smith, Steele;Male;1;14-08-1948;2400;Vocational Education and Training (VET);USA;Married/separated;Green
Evans, Emily;Female;1;30-09-1972;2300;Vocational bachelors educations;Denmark;Married/separated;Red
Medina, Andrew;Male;1;31-05-1978;2400;Vocational Education and Training (VET);Denmark;Never married;Green
Vang, Robert;Male;1;28-04-1958;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
al-Ansari, Mukarram;Male;1;09-01-2002;2100;Upper secondary education;Denmark;Never married;Green
Ramos, Joshua;Male;0;05-06-1976;2300;Vocational Education and Training (VET);Denmark;Never married;Green
Geissler, Jordan;Female;0;20-08-1960;2400;Vocational Education and Training (VET);Denmark;Married/separated;Red
Tyler, Kelton David;Male;0;07-03-1967;2300;Vocational bachelors educations;Denmark;Married/separated;Red
Rodriguez-Munoz, Jonaque;Female;0;09-12-1948;2200;Vocational bachelors educations;Denmark;Married/separated;Red
Moore, Brianna;Female;0;11-04-1976;2400;Short cycle higher education;Denmark;Married/separated;Green
el-Hoda, Imtinaan;Female;1;11-10-1946;2400;Primary education;Denmark;Widowed;Red
Morris, William;Male;0;24-09-1955;2400;Vocational bachelors educations;Denmark;Widowed;Red
Cuthair, Taylor;Female;0;30-03-1998;2300;Primary education;Denmark;Never married;Green
Adams, Margarita;Female;0;07-04-1974;2400;Vocational bachelors educations;Denmark;Never married;Red
Ellison, Matthew;Male;1;26-09-1992;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Hayward, Michelle;Female;0;04-10-1987;2300;Vocational Education and Training (VET);Denmark;Married/separated;Invalid vote
Ballard, Tyana;Female;0;02-06-1991;2400;Primary education;Denmark;Never married;Green
Kim, Patrick;Male;0;12-06-1995;2200;Vocational Education and Training (VET);Denmark;Never married;Green
al-Srour, Jiyaad;Male;0;11-08-1969;2400;Vocational Education and Training (VET);Denmark;Never married;Green
Yang, Lee;Female;1;29-08-1993;2100;Vocational bachelors educations;Denmark;Never married;Green
Wing, Heather;Female;0;11-08-1992;2200;PhD programmes;Sweden;Never married;Green
al-Othman, Hanaaa;Female;0;17-10-2004;2300;Primary education;Denmark;Never married;Green
Wych, Jordyn;Female;0;09-11-1981;2200;Vocational Education and Training (VET);Denmark;Never married;Green
el-Faris, Ma,Roof;Male;0;07-12-1975;2400;Upper secondary education;Denmark;Married/separated;Red
Robinson, Behron;Male;0;13-03-2002;2100;Primary education;Denmark;Never married;Green
Krien, Auji;Female;1;26-09-2002;2100;Vocational Education and Training (VET);Denmark;Never married;Green
Rodriguez-Castorena, Ernesto;Male;1;12-10-1963;2400;Masters programmes;Poland;Married/separated;Green
Farmer, Patrick;Male;0;20-11-1965;2400;Vocational bachelors educations;Denmark;Widowed;Red
Newell, Brianna;Female;0;19-08-1961;2400;Vocational Education and Training (VET);Denmark;Married/separated;Red
Cave, Jalen;Male;0;15-01-1970;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Oyebi, Alejandro;Male;0;15-04-1965;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Gutierrez, Sheila;Female;0;04-03-1994;2300;Primary education;Italy;Never married;Green
Ruiz, Peter;Male;0;24-08-1960;2200;Masters programmes;Denmark;Married/separated;Green
Garcia, Diego;Male;0;24-11-1960;2200;Upper secondary education;Denmark;Married/separated;Green
Livesay, Gabriel;Male;1;30-06-1968;2400;Primary education;Denmark;Married/separated;Red
Martinez, Emily;Female;1;31-01-1978;2300;PhD programmes;Denmark;Divorced;Red
Johnson, Corey;Male;0;17-05-1996;2100;Primary education;Denmark;Never married;Green
Pacheco, Mckenzy;Female;0;18-02-1974;2400;Upper secondary education;Denmark;Married/separated;Green
Rogers, Kyle;Male;0;04-06-1945;2400;Masters programmes;Denmark;Married/separated;Green
Henley, Yael;Female;1;29-05-1946;2300;Vocational Education and Training (VET);Denmark;Divorced;Red
Howard, Najaal;Male;0;21-11-1958;2400;Short cycle higher education;Denmark;Married/separated;Green
Mizner, Davien;Male;1;08-09-1987;2400;Vocational bachelors educations;Denmark;Never married;Green
Gehringer, Aryn;Female;0;10-02-1978;2400;Not stated;Stateless;Never married;Green
el-Din, Mustaba;Male;1;06-01-1987;2200;Masters programmes;Denmark;Married/separated;Green
Wolday, Aeolian;Male;0;10-03-1975;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
Davis, Nhi;Female;0;26-06-1998;2400;Bachelors programmes;Denmark;Married/separated;Green
Alvarez Mendez, Vanessa;Female;0;08-10-1962;2200;Vocational bachelors educations;Denmark;Never married;Red
Phan, Elizabeth;Female;0;16-05-1949;2200;Primary education;Denmark;Married/separated;Green
Montanez, Vicente;Male;0;30-01-1988;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Gora, Lindsay;Female;1;19-04-1989;2300;Short cycle higher education;Denmark;Never married;Green
Cousins, Larrenzo;Male;0;10-02-1960;2300;Primary education;Denmark;Married/separated;Green
el-Haider, Rihaab;Female;0;09-10-1976;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
Estes, Whitnie;Female;0;23-10-1994;2100;Primary education;Denmark;Never married;Green
el-Siddique, Raadi;Male;1;05-05-1984;2400;Vocational bachelors educations;Denmark;Divorced;Red
Seiler, Marissa;Female;0;22-06-1989;2300;Vocational Education and Training (VET);Denmark;Never married;Red
Lang, Brandon;Male;1;20-03-1967;2300;Vocational bachelors educations;Denmark;Divorced;Green
Garcia, Amy;Female;1;01-09-1988;2200;Upper secondary education;Denmark;Never married;Green
Hardaway, Matthew;Male;1;07-11-1970;2400;Vocational Education and Training (VET);Denmark;Divorced;Green
Mutagamba, Taji;Male;0;16-02-1987;2400;Bachelors programmes;Somalia;Married/separated;Green
Lopez, Marcello;Male;0;04-06-1962;2300;Upper secondary education;Denmark;Divorced;Green
al-Ebrahim, Manaal;Female;0;13-03-1990;2200;Vocational bachelors educations;Denmark;Never married;Green
Gallegos, Olivia;Female;0;10-04-1972;2300;Vocational Education and Training (VET);Pakistan;Married/separated;Red
Kindall, Kailey;Female;0;11-07-1962;2300;Masters programmes;Denmark;Married/separated;Red
Deherrera, Diego;Male;0;21-03-1986;2300;Vocational Education and Training (VET);Denmark;Married/separated;Invalid vote
Guerette, Kevin;Male;0;22-10-2003;2100;Primary education;Denmark;Never married;Green
Wilhelm, Andrea;Female;1;01-05-1997;2200;Short cycle higher education;Denmark;Never married;Green
Seela, Alexander;Male;1;30-08-1943;2300;Short cycle higher education;Denmark;Widowed;Red
Crutcher, Tashari;Male;1;04-09-1989;2400;Short cycle higher education;Denmark;Married/separated;Green
Sapp, Brittany;Female;0;20-03-1973;2300;Vocational bachelors educations;Denmark;Divorced;Red
Sechereh, Ireshea;Female;1;04-12-1948;2400;Short cycle higher education;Denmark;Never married;Red
White, Codie;Female;0;28-09-1987;2100;Masters programmes;Denmark;Married/separated;Red
Noda, Mengyi;Female;0;12-08-1989;2200;Vocational Education and Training (VET);Denmark;Never married;Green
Smith, Quinn;Male;0;26-07-1959;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Jones, Emma;Female;1;07-01-1984;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
Douglas, Hope;Female;0;27-11-1978;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
el-Maroun, Sadi;Male;1;11-02-1979;2300;Vocational Education and Training (VET);Denmark;Married/separated;Red
al-Hallal, Shafeeqa;Female;0;04-04-1970;2300;Vocational Education and Training (VET);Poland;Never married;Red
Martin, Raelina;Female;0;22-11-1981;2200;Primary education;Denmark;Married/separated;Green
Johnson, Alina;Female;0;23-08-1971;2300;Vocational Education and Training (VET);Denmark;Married/separated;Red
Miller, Maya;Female;1;05-01-1971;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
el-Hamid, Abdul Hameed;Male;0;03-06-1946;2300;Primary education;Denmark;Widowed;Red
Fling-Salazar, Caleb;Male;1;03-11-1978;2100;Vocational Education and Training (VET);Denmark;Never married;Green
Nelson, Jordan;Male;0;05-11-1993;2200;Upper secondary education;Denmark;Never married;Green
al-Abdallah, Zaidaan;Male;1;01-11-1962;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Lopez, Mariah;Female;0;29-06-1923;2400;Vocational bachelors educations;Denmark;Widowed;Green
Stacks, Kristina;Female;0;18-10-2004;2300;Primary education;Afghanistan;Never married;Invalid vote
Dorji, Michelle;Female;0;18-06-1941;2400;Primary education;Denmark;Never married;Red
Ragsdale, Janae;Female;0;03-05-1988;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Yohe-Ironwing, Jacob;Male;1;05-12-1968;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Bates, Jean;Female;0;27-10-1995;2100;Not stated;Denmark;Never married;Green
Vo, Reginald;Male;0;06-10-2001;2300;Primary education;Denmark;Never married;Green
Morris, Olivia;Female;0;28-03-2003;2400;Primary education;Denmark;Never married;Green
Lee, Alexandra;Female;0;24-07-1988;2300;Upper secondary education;Denmark;Married/separated;Green
Jull, Ambrosia;Female;1;17-10-1971;2200;Upper secondary education;Denmark;Divorced;Green
Gallo, Barrett;Male;1;08-11-1986;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Pedroza, Jalen;Male;1;23-05-1952;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Laner, Ashley;Female;0;12-08-1940;2200;Vocational bachelors educations;Denmark;Widowed;Red
Dusek, Benjamin;Male;0;20-02-1977;2300;Masters programmes;Denmark;Married/separated;Red
Ironcloud, Ashley;Female;0;22-10-1923;2400;Vocational Education and Training (VET);Denmark;Widowed;Green
Saleem, Ibrahim;Male;0;31-10-1983;2300;Short cycle higher education;Denmark;Never married;Green
Bison, Dominique;Female;0;26-05-1991;2200;Short cycle higher education;Denmark;Never married;Green
Cordova, Jailene;Female;0;24-08-1985;2300;Vocational bachelors educations;Denmark;Married/separated;Red
Chaca, Derrik;Male;0;30-01-1990;2300;Masters programmes;Denmark;Never married;Red
Morrow, Magnolia;Female;1;10-03-1988;2100;Primary education;Syria;Divorced;Green
Valdoria, Lisa;Female;0;27-10-1969;2300;Vocational Education and Training (VET);Denmark;Married/separated;Red
Hang, Henry;Male;1;11-02-1951;2400;Vocational bachelors educations;Denmark;Married/separated;Green
Torres, Jorge;Male;0;25-12-1962;2200;Primary education;Denmark;Married/separated;Green
Gong, Sunshine;Female;1;25-08-1958;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Loebis, Julia;Female;0;19-01-1937;2100;Vocational bachelors educations;Denmark;Widowed;Red
Lee, Prasanna;Male;0;26-01-1961;2400;Vocational Education and Training (VET);Denmark;Married/separated;Red
Davis, Darshae;Female;0;06-06-1978;2400;Vocational bachelors educations;Denmark;Married/separated;Red
Haas, Jazmynn;Female;0;19-02-1994;2100;Vocational bachelors educations;Denmark;Married/separated;Green
Britain, Samuel;Male;0;17-02-1968;2200;Short cycle higher education;Denmark;Never married;Red
Castillo, Jawan;Male;1;21-09-1990;2200;Primary education;Denmark;Never married;Green
al-Mannan, Mufliha;Female;0;18-06-1980;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
el-Rashed, Fawzaana;Female;0;22-06-1969;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Fraser, Bryan;Male;0;08-03-1989;2100;Masters programmes;Denmark;Married/separated;Green
Gutierrez, Kenneth;Male;0;11-07-1977;2400;Vocational Education and Training (VET);Denmark;Never married;Green
Mcwee, Julius;Male;0;03-05-1939;2200;Vocational Education and Training (VET);Denmark;Married/separated;Red
Yardumian, Tyrel;Male;0;19-12-1938;2400;Vocational Education and Training (VET);Denmark;Widowed;Red
Mark, Sovanara;Female;0;31-12-1959;2300;Vocational bachelors educations;Denmark;Married/separated;Red
Talmadge, Job;Male;0;17-04-1946;2300;Vocational bachelors educations;Denmark;Widowed;Red
Chongtoua, Mason;Male;1;20-11-1965;2300;Vocational bachelors educations;Denmark;Married/separated;Red
Loi, Minhkhoi;Male;1;27-08-1977;2300;Masters programmes;Denmark;Married/separated;Red
Williams, Brianna;Female;0;12-07-1944;2200;Vocational Education and Training (VET);Denmark;Divorced;Red
Fleury II, Tiana;Female;0;25-08-1981;2200;Primary education;Denmark;Married/separated;Green
el-Nour, Haazima;Female;0;13-12-1995;2100;Primary education;Denmark;Married/separated;Green
Henry, Andrew;Male;0;12-02-1968;2200;PhD programmes;Denmark;Divorced;Red
al-Fares, Hazeela;Female;0;21-10-1979;2400;Primary education;Denmark;Married/separated;Green
el-Shahidi, Sadi;Male;0;31-12-1954;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Vigil, Sergio;Male;0;18-03-1939;2200;Primary education;Denmark;Married/separated;Green
Pham, Jeremiah;Male;0;19-10-1985;2200;Primary education;Denmark;Married/separated;Green
Mmopi, Deleighon;Male;0;15-06-1951;2300;Masters programmes;Denmark;Divorced;Red
Trujillo, Chad;Male;0;02-12-1967;2300;Vocational Education and Training (VET);Denmark;Married/separated;Red
Crawleigh, Antonio;Male;1;06-03-1991;2100;Masters programmes;Denmark;Never married;Green
Potter, Erin;Female;0;03-11-1994;2300;Not stated;Denmark;Never married;Green
Weaver, Sabrina;Female;0;12-10-1960;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
el-Fawaz, Imtinaan;Female;0;28-10-1961;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
Marquez, Nickolas;Male;1;08-06-1997;2300;Primary education;Denmark;Never married;Green
Montoya, Avona;Female;0;10-06-2001;2200;Primary education;Stateless;Never married;Green
Sweeten, Bintou;Female;1;30-06-1940;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
